total_processing_days,premium,application_type,service_center
33.0,False,renewal,Vermont
105.0,False,new application,Texas
56.0,False,new application,California
31.0,False,new application,Vermont
131.0,False,new application,Vermont
70.0,True,renewal,Vermont
31.0,False,new application,Dallas
52.0,False,new application,California
6.0,True,new application,California
84.0,False,new application,California
65.0,False,new application,California
22.0,False,new application,Vermont
56.0,False,renewal,Vermont
54.0,False,new application,Vermont
75.0,False,new application,California
58.0,False,new application,California
53.0,False,new application,Vermont
76.0,False,new application,California
180.0,False,new application,Vermont
115.0,False,new application,Dallas
28.0,False,new application,Vermont
88.0,False,new application,California
95.0,False,new application,Phoenix
35.0,False,new application,Vermont
92.0,False,new application,California
94.0,False,new application,California
41.0,False,new application,Vermont
51.0,False,new application,California
60.0,False,new application,California
57.0,False,renewal,Phoenix
50.0,False,new application,California
141.0,False,new application,Vermont
87.0,False,new application,Vermont
84.0,False,new application,California
100.0,False,new application,California
60.0,False,new application,California
58.0,False,new application,California
43.0,False,new application,Vermont
69.0,False,new application,Phoenix
84.0,False,new application,California
18.0,True,new application,Vermont
121.0,False,new application,Vermont
58.0,False,new application,California
74.0,False,new application,Texas
106.0,False,new application,Vermont
90.0,False,new application,California
78.0,False,new application,California
35.0,False,new application,Vermont
55.0,False,new application,Phoenix
64.0,False,new application,Vermont
56.0,False,new application,California
53.0,False,renewal,California
63.0,False,renewal,California
93.0,False,new application,Dallas
212.0,False,new application,Vermont
177.0,False,new application,Vermont
70.0,False,new application,California
46.0,False,new application,Phoenix
91.0,False,new application,California
23.0,False,renewal,Vermont
40.0,False,new application,Vermont
7.0,True,new application,California
96.0,False,new application,Vermont
43.0,False,new application,Vermont
31.0,False,new application,Vermont
28.0,False,renewal,Vermont
49.0,False,new application,California
90.0,False,new application,Phoenix
60.0,False,new application,California
54.0,False,new application,Phoenix
90.0,False,renewal,Vermont
88.0,False,renewal,Phoenix
52.0,False,new application,California
90.0,False,new application,Vermont
125.0,False,new application,Vermont
79.0,False,new application,Phoenix
96.0,False,new application,Vermont
64.0,False,new application,California
68.0,False,new application,California
97.0,False,new application,Vermont
7.0,False,renewal,California
66.0,False,new application,California
67.0,False,new application,Vermont
83.0,False,new application,Vermont
59.0,False,new application,Vermont
27.0,False,renewal,Texas
48.0,False,new application,Vermont
61.0,False,new application,California
158.0,False,new application,Vermont
121.0,False,new application,Vermont
50.0,False,new application,Phoenix
164.0,False,new application,Texas
99.0,False,new application,Vermont
20.0,False,new application,Vermont
62.0,False,new application,California
70.0,False,new application,California
64.0,False,new application,California
24.0,False,new application,Vermont
78.0,False,new application,Vermont
38.0,False,new application,Vermont
53.0,False,new application,Phoenix
249.0,False,new application,Vermont
126.0,False,new application,Vermont
238.0,False,new application,Vermont
41.0,False,new application,California
112.0,False,new application,Vermont
60.0,False,new application,California
60.0,False,new application,Vermont
92.0,False,renewal,California
55.0,False,new application,Phoenix
63.0,False,new application,California
279.0,False,new application,Phoenix
126.0,False,new application,Vermont
45.0,False,renewal,Phoenix
38.0,False,renewal,Texas
199.0,False,new application,Vermont
81.0,False,new application,California
40.0,False,new application,Vermont
196.0,False,new application,Vermont
10.0,False,new application,California
